week_ending,week_number,weekly_gross_overall,show,theatre,weekly_gross,potential_gross,avg_ticket_price,top_ticket_price,seats_sold,seats_in_theatre,pct_capacity,performances,previews,genre,cast,creative_team,first_preview,opening_date,closing_date,run_number,is_revival,tony_nominations,tony_wins,has_pulitzer,has_drama_desk_win,awards_detail
2009-03-29,44.0,17119943.0,33 Variations,Eugene O'Neill Theatre,304731,855684,61.07,350,4990,1063,0.5868,8,0,,,,,,,1,0,,,,,
2009-04-05,45.0,16940158.0,33 Variations,Eugene O'Neill Theatre,303803,855684,61.4,350,4948,1063,0.5818,8,0,,,,,,,1,0,,,,,
2009-04-12,46.0,21432403.0,33 Variations,Eugene O'Neill Theatre,325279,855684,61.83,350,5261,1063,0.6187,8,0,,,,,,,1,0,,,,,
2009-04-19,47.0,21303553.0,33 Variations,Eugene O'Neill Theatre,301812,855684,66.99,350,4505,1063,0.5298,8,0,,,,,,,1,0,,,,,
2009-04-26,48.0,19223495.0,33 Variations,Eugene O'Neill Theatre,291195,855684,64.34,350,4526,1063,0.5322,8,0,,,,,,,1,0,,,,,
2009-05-03,49.0,18101242.0,33 Variations,Eugene O'Neill Theatre,280760,855684,66.25,350,4238,1063,0.4984,8,0,,,,,,,1,0,,,,,
2009-05-10,50.0,18534867.0,33 Variations,Eugene O'Neill Theatre,287867,855684,66.09,350,4356,1063,0.5122,8,0,,,,,,,1,0,,,,,
2009-05-17,51.0,19514195.0,33 Variations,Eugene O'Neill Theatre,333656,855684,65.53,350,5092,1063,0.5988,8,0,,,,,,,1,0,,,,,
2009-05-24,52.0,20413145.0,33 Variations,Eugene O'Neill Theatre,236250,534803,69.2,350,3414,1063,0.6423,5,0,,,,,,,1,0,,,,,
1985-06-09,1.0,3915937.0,42nd Street,St. James Theatre,282368,,30.42,,9281,1655,0.701,8,0,Musical,,,4/04/2001,5/02/2001,1/02/2005,1,0,,,,,
1985-06-16,2.0,3685742.0,42nd Street,St. James Theatre,301417,,29.46,,10231,1655,0.7727,8,0,Musical,,,4/04/2001,5/02/2001,1/02/2005,1,0,,,,,
1985-06-23,3.0,3690242.0,42nd Street,St. James Theatre,296438,,30.26,,9797,1655,0.74,8,0,Musical,,,4/04/2001,5/02/2001,1/02/2005,1,0,,,,,
1985-06-30,4.0,3986642.0,42nd Street,St. James Theatre,292841,,29.41,,9957,1655,0.752,8,0,Musical,,,4/04/2001,5/02/2001,1/02/2005,1,0,,,,,
1985-07-07,5.0,2929052.0,42nd Street,St. James Theatre,235685,,28.44,,8288,1655,0.626,8,0,Musical,,,4/04/2001,5/02/2001,1/02/2005,1,0,,,,,
1985-07-14,6.0,3072770.0,42nd Street,St. James Theatre,252046,,29.29,,8606,1655,0.65,8,0,Musical,,,4/04/2001,5/02/2001,1/02/2005,1,0,,,,,
1985-07-21,7.0,3260312.0,42nd Street,St. James Theatre,292708,,29.75,,9838,1655,0.7431,8,0,Musical,,,4/04/2001,5/02/2001,1/02/2005,1,0,,,,,
1985-07-28,8.0,2989271.0,42nd Street,St. James Theatre,298993,,29.14,,10260,1655,0.7749,8,0,Musical,,,4/04/2001,5/02/2001,1/02/2005,1,0,,,,,
1985-08-04,9.0,2999130.0,42nd Street,St. James Theatre,273645,,29.38,,9314,1655,0.7035,8,0,Musical,,,4/04/2001,5/02/2001,1/02/2005,1,0,,,,,
1985-08-11,10.0,3161255.0,42nd Street,St. James Theatre,295896,,29.45,,10048,1655,0.7589,8,0,Musical,,,4/04/2001,5/02/2001,1/02/2005,1,0,,,,,
1985-08-18,11.0,3200365.0,42nd Street,St. James Theatre,347623,,33.37,,10416,1655,0.7867,8,0,Musical,,,4/04/2001,5/02/2001,1/02/2005,1,0,,,,,
1985-08-25,12.0,3099133.0,42nd Street,St. James Theatre,341894,,29.09,,11754,1655,0.8878,8,0,Musical,,,4/04/2001,5/02/2001,1/02/2005,1,0,,,,,
